period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
123,BELFAST INTERNATIONAL,UNITED KINGDOM,STANSTED,EASYJET UK LTD,S,186,0,2.150538,60.752688,23.11828,8.602151,2.688172,1.612903,1.075269,0,0,0,6.903226,97.321429,2.205357
123,BELFAST INTERNATIONAL,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,198,0,7.575758,62.121212,20.20202,4.040404,1.010101,4.040404,0,1.010101,0,0,7.818182,95.205479,2.294521
123,BELFAST INTERNATIONAL,UNITED KINGDOM,NEWCASTLE,EASYJET UK LTD,S,108,0,3.703704,51.851852,23.148148,12.037037,5.555556,0,3.703704,0,0,0,12,99.056604,0.613208
123,BELFAST INTERNATIONAL,USA,BANGOR,SUN AIR OF SCANDINAVIA,C,1,0,0,0,0,0,0,100,0,0,0,0,102,0,0
123,BELFAST INTERNATIONAL,AUSTRIA,SALZBURG,JET2.COM LTD,S,8,0,12.5,25,37.5,0,12.5,12.5,0,0,0,0,14.625,70,20.6
123,BELFAST INTERNATIONAL,FRANCE,CLERMONT FERRAND,EUROAIR,C,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13
123,BELFAST INTERNATIONAL,FRANCE,LA ROCHELLE,JET2.COM LTD,C,2,0,50,0,0,0,50,0,0,0,0,0,30,0,0
123,BELFAST INTERNATIONAL,FRANCE,LYON,EASYJET UK LTD,S,22,0,18.181818,45.454545,22.727273,4.545455,9.090909,0,0,0,0,0,6.409091,100,0
123,BELFAST INTERNATIONAL,FRANCE,BEAUVAIS,RYANAIR,C,1,0,0,0,100,0,0,0,0,0,0,0,11,0,0
123,BELFAST INTERNATIONAL,FRANCE,PARIS (CHARLES DE GAULLE),EASYJET UK LTD,S,40,0,0,25,35,22.5,12.5,5,0,0,0,0,18.55,60,14.1
123,BELFAST INTERNATIONAL,FRANCE,PARIS (ORLY),VUELING AIRLINES,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.214286
123,BELFAST INTERNATIONAL,IRISH REPUBLIC,DUBLIN,LONDON EXECUTIVE AVIATION LTD,C,2,0,0,0,50,0,50,0,0,0,0,0,29.5,0,0
123,BELFAST INTERNATIONAL,IRISH REPUBLIC,DUBLIN,TUI AIRWAYS LTD,C,1,0,0,0,0,100,0,0,0,0,0,0,22,0,0
123,BELFAST INTERNATIONAL,ITALY,TREVISO,AIR NOSTRUM,C,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0
123,BELFAST INTERNATIONAL,NETHERLANDS,AMSTERDAM,EASYJET UK LTD,S,44,0,6.818182,40.909091,18.181818,11.363636,15.909091,2.272727,4.545455,0,0,0,19.431818,62.5,13.6875
123,BELFAST INTERNATIONAL,PORTUGAL(EXCLUDING MADEIRA),FARO,EASYJET UK LTD,S,20,0,0,50,35,15,0,0,0,0,0,0,5.9,75,11.25
123,BELFAST INTERNATIONAL,SPAIN,ALICANTE,EASYJET UK LTD,S,26,0,7.692308,65.384615,26.923077,0,0,0,0,0,0,0,1.807692,100,0.863636
123,BELFAST INTERNATIONAL,SPAIN,ALICANTE,JET2.COM LTD,S,18,0,11.111111,55.555556,33.333333,0,0,0,0,0,0,0,0.722222,100,0
123,BELFAST INTERNATIONAL,SPAIN,MALAGA,EASYJET UK LTD,S,32,0,0,34.375,34.375,25,6.25,0,0,0,0,0,10.1875,95.454545,3.454545
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),ARRECIFE,EASYJET UK LTD,S,19,0,0,68.421053,26.315789,5.263158,0,0,0,0,0,0,3.473684,83.333333,6.888889
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),ARRECIFE,JET2.COM LTD,S,28,0,7.142857,46.428571,35.714286,7.142857,3.571429,0,0,0,0,0,5.357143,89.285714,13.035714
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),FUERTEVENTURA,JET2.COM LTD,S,16,0,6.25,50,31.25,12.5,0,0,0,0,0,0,5.0625,100,1.055556
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),LAS PALMAS,EASYJET UK LTD,S,18,0,0,38.888889,38.888889,16.666667,5.555556,0,0,0,0,0,8.333333,33.333333,31
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),LAS PALMAS,JET2.COM LTD,S,18,0,16.666667,33.333333,38.888889,5.555556,5.555556,0,0,0,0,0,5.277778,88.888889,12.722222
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),EASYJET UK LTD,S,17,0,23.529412,35.294118,29.411765,11.764706,0,0,0,0,0,0,3.882353,94.444444,3.166667
123,BELFAST INTERNATIONAL,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),JET2.COM LTD,S,44,0,13.636364,38.636364,38.636364,4.545455,4.545455,0,0,0,0,0,4.318182,100,2.214286
